timestamp,discrete_visit_planningarea,hyperUnique_unique_agents,longSum_total_records,discrete_visit_planningregion,discrete_visit_subzone
2018-01-01T00:00:00.000+08:00,CR,10344,149807,QT,QTSZ03
2018-01-01T00:00:00.000+08:00,CR,43181,316547,QT,QTSZ04
2018-01-01T00:00:00.000+08:00,CR,25422,439021,QT,QTSZ05
2018-01-01T00:00:00.000+08:00,CR,52379,740533,QT,QTSZ06
2018-01-01T00:00:00.000+08:00,CR,7495,74909,QT,QTSZ07
2018-01-01T00:00:00.000+08:00,CR,27481,264327,QT,QTSZ08
2018-01-01T00:00:00.000+08:00,CR,31348,277266,QT,QTSZ09
2018-01-01T00:00:00.000+08:00,CR,39243,400233,QT,QTSZ10
2018-01-01T00:00:00.000+08:00,CR,33097,488187,QT,QTSZ11
2018-01-01T00:00:00.000+08:00,CR,15806,117206,QT,QTSZ12
2018-01-01T00:00:00.000+08:00,CR,14398,267303,QT,QTSZ13
2018-01-01T00:00:00.000+08:00,CR,23718,366479,QT,QTSZ14
2018-01-01T00:00:00.000+08:00,CR,34880,759553,QT,QTSZ15
2018-01-01T00:00:00.000+08:00,CR,139734,1096516,RC,RCSZ01
2018-01-01T00:00:00.000+08:00,CR,106913,833034,RC,RCSZ02
2018-01-01T00:00:00.000+08:00,CR,79115,479597,RC,RCSZ03
2018-01-01T00:00:00.000+08:00,CR,27531,159389,RC,RCSZ05
2018-01-01T00:00:00.000+08:00,CR,28187,98244,RC,RCSZ06
2018-01-01T00:00:00.000+08:00,CR,8905,164994,RC,RCSZ07
2018-01-01T00:00:00.000+08:00,CR,35670,377197,RC,RCSZ08
2018-01-01T00:00:00.000+08:00,CR,38545,226359,RC,RCSZ09
2018-01-01T00:00:00.000+08:00,CR,65730,514852,RC,RCSZ10
2018-01-01T00:00:00.000+08:00,CR,9658,186528,RV,RVSZ01
2018-01-01T00:00:00.000+08:00,CR,2789,4000,RV,RVSZ02
2018-01-01T00:00:00.000+08:00,CR,13268,246407,RV,RVSZ03
2018-01-01T00:00:00.000+08:00,CR,40,40,RV,RVSZ04
2018-01-01T00:00:00.000+08:00,CR,34943,583702,RV,RVSZ05
2018-01-01T00:00:00.000+08:00,CR,78539,1483718,SI,SISZ01
2018-01-01T00:00:00.000+08:00,CR,7788,43157,SI,SISZ02
2018-01-01T00:00:00.000+08:00,CR,24625,349534,SR,SRSZ01
2018-01-01T00:00:00.000+08:00,CR,65239,496580,SR,SRSZ02
2018-01-01T00:00:00.000+08:00,CR,21931,154073,SR,SRSZ03
2018-01-01T00:00:00.000+08:00,CR,18206,113242,SV,SVSZ01
2018-01-01T00:00:00.000+08:00,CR,39949,839606,TN,TNSZ01
2018-01-01T00:00:00.000+08:00,CR,26328,450602,TN,TNSZ02
2018-01-01T00:00:00.000+08:00,CR,45719,489258,TN,TNSZ03
2018-01-01T00:00:00.000+08:00,CR,33182,277220,TN,TNSZ04
2018-01-01T00:00:00.000+08:00,CR,45904,532576,TP,TPSZ01
2018-01-01T00:00:00.000+08:00,CR,62887,1069169,TP,TPSZ02
2018-01-01T00:00:00.000+08:00,CR,22438,307706,TP,TPSZ03
2018-01-01T00:00:00.000+08:00,CR,18233,311095,TP,TPSZ04
2018-01-01T00:00:00.000+08:00,CR,48002,333150,TP,TPSZ05
2018-01-01T00:00:00.000+08:00,CR,17230,319480,TP,TPSZ06
2018-01-01T00:00:00.000+08:00,CR,5423,92480,TP,TPSZ07
2018-01-01T00:00:00.000+08:00,CR,28655,487091,TP,TPSZ09
2018-01-01T00:00:00.000+08:00,CR,12034,16389,TP,TPSZ10
2018-01-01T00:00:00.000+08:00,CR,15194,18974,TP,TPSZ11
2018-01-01T00:00:00.000+08:00,CR,29607,702586,TP,TPSZ12
2018-01-02T00:00:00.000+08:00,CR,79870,1002471,BM,BMSZ01
2018-01-02T00:00:00.000+08:00,CR,29797,361295,BM,BMSZ02
2018-01-02T00:00:00.000+08:00,CR,17179,104298,BM,BMSZ03
2018-01-02T00:00:00.000+08:00,CR,54439,405389,BM,BMSZ04
2018-01-02T00:00:00.000+08:00,CR,33288,419777,BM,BMSZ05
2018-01-02T00:00:00.000+08:00,CR,23385,181614,BM,BMSZ06
2018-01-02T00:00:00.000+08:00,CR,74245,939175,BM,BMSZ07
2018-01-02T00:00:00.000+08:00,CR,26210,386120,BM,BMSZ08
2018-01-02T00:00:00.000+08:00,CR,55500,674081,BM,BMSZ09
2018-01-02T00:00:00.000+08:00,CR,46780,342008,BM,BMSZ10
2018-01-02T00:00:00.000+08:00,CR,42109,314549,BM,BMSZ11
2018-01-02T00:00:00.000+08:00,CR,10519,99537,BM,BMSZ12
2018-01-02T00:00:00.000+08:00,CR,29889,497709,BM,BMSZ13
2018-01-02T00:00:00.000+08:00,CR,26850,340077,BM,BMSZ14
2018-01-02T00:00:00.000+08:00,CR,21843,307059,BM,BMSZ15
2018-01-02T00:00:00.000+08:00,CR,67357,598240,BM,BMSZ16
2018-01-02T00:00:00.000+08:00,CR,77363,558284,BM,BMSZ17
2018-01-02T00:00:00.000+08:00,CR,70697,1276106,BS,BSSZ01
2018-01-02T00:00:00.000+08:00,CR,51247,566382,BS,BSSZ02
2018-01-02T00:00:00.000+08:00,CR,121925,1008534,BS,BSSZ03
2018-01-02T00:00:00.000+08:00,CR,72155,1141287,BT,BTSZ01
2018-01-02T00:00:00.000+08:00,CR,23456,245372,BT,BTSZ02
2018-01-02T00:00:00.000+08:00,CR,19516,357907,BT,BTSZ03
2018-01-02T00:00:00.000+08:00,CR,19601,343398,BT,BTSZ04
2018-01-02T00:00:00.000+08:00,CR,76888,463046,BT,BTSZ05
2018-01-02T00:00:00.000+08:00,CR,63897,728140,BT,BTSZ06
2018-01-02T00:00:00.000+08:00,CR,29746,440398,BT,BTSZ07
2018-01-02T00:00:00.000+08:00,CR,27001,227904,BT,BTSZ08
2018-01-02T00:00:00.000+08:00,CR,111687,771161,DT,DTSZ01
2018-01-02T00:00:00.000+08:00,CR,104208,844634,DT,DTSZ02
2018-01-02T00:00:00.000+08:00,CR,80082,1002353,DT,DTSZ03
2018-01-02T00:00:00.000+08:00,CR,25218,184761,DT,DTSZ04
2018-01-02T00:00:00.000+08:00,CR,102808,1114553,DT,DTSZ05
2018-01-02T00:00:00.000+08:00,CR,33689,283735,DT,DTSZ06
2018-01-02T00:00:00.000+08:00,CR,13709,122583,DT,DTSZ07
2018-01-02T00:00:00.000+08:00,CR,75142,771544,DT,DTSZ08
2018-01-02T00:00:00.000+08:00,CR,43583,496792,DT,DTSZ09
2018-01-02T00:00:00.000+08:00,CR,33634,349078,DT,DTSZ10
2018-01-02T00:00:00.000+08:00,CR,39269,895536,DT,DTSZ11
2018-01-02T00:00:00.000+08:00,CR,52888,570869,DT,DTSZ12
2018-01-02T00:00:00.000+08:00,CR,77574,1000563,GL,GLSZ01
2018-01-02T00:00:00.000+08:00,CR,51686,647275,GL,GLSZ02
2018-01-02T00:00:00.000+08:00,CR,126523,1554765,GL,GLSZ03
2018-01-02T00:00:00.000+08:00,CR,197648,3364984,GL,GLSZ04
2018-01-02T00:00:00.000+08:00,CR,124627,1806955,GL,GLSZ05
2018-01-02T00:00:00.000+08:00,CR,133399,1597486,KL,KLSZ01
2018-01-02T00:00:00.000+08:00,CR,44824,439935,KL,KLSZ02
2018-01-02T00:00:00.000+08:00,CR,15885,170508,KL,KLSZ03
2018-01-02T00:00:00.000+08:00,CR,31504,95702,KL,KLSZ04
2018-01-02T00:00:00.000+08:00,CR,82505,737967,KL,KLSZ05
2018-01-02T00:00:00.000+08:00,CR,102572,1113768,KL,KLSZ06
2018-01-02T00:00:00.000+08:00,CR,84370,889028,KL,KLSZ07
2018-01-02T00:00:00.000+08:00,CR,47902,490880,KL,KLSZ08
2018-01-02T00:00:00.000+08:00,CR,67273,804191,KL,KLSZ09
2018-01-02T00:00:00.000+08:00,CR,60934,222581,ME,MESZ01
2018-01-02T00:00:00.000+08:00,CR,39771,618330,MP,MPSZ01
2018-01-02T00:00:00.000+08:00,CR,40014,613314,MP,MPSZ02
2018-01-02T00:00:00.000+08:00,CR,71188,1377594,MP,MPSZ03
2018-01-02T00:00:00.000+08:00,CR,37122,160207,MS,MSSZ01
2018-01-02T00:00:00.000+08:00,CR,77184,319908,MU,MUSZ01
2018-01-02T00:00:00.000+08:00,CR,28802,166959,MU,MUSZ02
2018-01-02T00:00:00.000+08:00,CR,23076,234818,MU,MUSZ03
2018-01-02T00:00:00.000+08:00,CR,34952,324725,NT,NTSZ01
2018-01-02T00:00:00.000+08:00,CR,7672,66342,NT,NTSZ02
2018-01-02T00:00:00.000+08:00,CR,35305,190330,NT,NTSZ03
2018-01-02T00:00:00.000+08:00,CR,34255,552249,NT,NTSZ04
2018-01-02T00:00:00.000+08:00,CR,9828,15583,NT,NTSZ05
2018-01-02T00:00:00.000+08:00,CR,11105,87199,NT,NTSZ06
2018-01-02T00:00:00.000+08:00,CR,135778,1767794,NV,NVSZ01
2018-01-02T00:00:00.000+08:00,CR,106543,1239014,NV,NVSZ02
2018-01-02T00:00:00.000+08:00,CR,39157,342752,NV,NVSZ03
2018-01-02T00:00:00.000+08:00,CR,56884,209515,NV,NVSZ04
2018-01-02T00:00:00.000+08:00,CR,7499,50383,NV,NVSZ05
2018-01-02T00:00:00.000+08:00,CR,29550,442444,OR,ORSZ01
2018-01-02T00:00:00.000+08:00,CR,105376,1512706,OR,ORSZ02
2018-01-02T00:00:00.000+08:00,CR,104613,1280127,OR,ORSZ03
2018-01-02T00:00:00.000+08:00,CR,72315,786190,OT,OTSZ01
2018-01-02T00:00:00.000+08:00,CR,60062,120330,OT,OTSZ02
2018-01-02T00:00:00.000+08:00,CR,79587,834370,OT,OTSZ03
2018-01-02T00:00:00.000+08:00,CR,41527,315530,OT,OTSZ04
2018-01-02T00:00:00.000+08:00,CR,36065,356600,QT,QTSZ01
2018-01-02T00:00:00.000+08:00,CR,24960,349981,QT,QTSZ02
2018-01-02T00:00:00.000+08:00,CR,11329,152244,QT,QTSZ03
2018-01-02T00:00:00.000+08:00,CR,49098,345159,QT,QTSZ04
2018-01-02T00:00:00.000+08:00,CR,34906,509085,QT,QTSZ05
2018-01-02T00:00:00.000+08:00,CR,69723,819067,QT,QTSZ06
2018-01-02T00:00:00.000+08:00,CR,9545,82694,QT,QTSZ07
2018-01-02T00:00:00.000+08:00,CR,61725,804088,QT,QTSZ08
2018-01-02T00:00:00.000+08:00,CR,47477,378211,QT,QTSZ09
2018-01-02T00:00:00.000+08:00,CR,68881,496938,QT,QTSZ10
2018-01-02T00:00:00.000+08:00,CR,59615,828010,QT,QTSZ11
2018-01-02T00:00:00.000+08:00,CR,35321,270124,QT,QTSZ12
2018-01-02T00:00:00.000+08:00,CR,20633,331270,QT,QTSZ13
2018-01-02T00:00:00.000+08:00,CR,48067,758761,QT,QTSZ14
2018-01-02T00:00:00.000+08:00,CR,52724,842585,QT,QTSZ15
2018-01-02T00:00:00.000+08:00,CR,89227,635351,RC,RCSZ01
2018-01-02T00:00:00.000+08:00,CR,57533,474071,RC,RCSZ02
2018-01-02T00:00:00.000+08:00,CR,64244,392306,RC,RCSZ03
2018-01-02T00:00:00.000+08:00,CR,28651,159139,RC,RCSZ05
2018-01-02T00:00:00.000+08:00,CR,22602,114209,RC,RCSZ06
2018-01-02T00:00:00.000+08:00,CR,8826,174378,RC,RCSZ07
2018-01-02T00:00:00.000+08:00,CR,30858,407943,RC,RCSZ08
2018-01-02T00:00:00.000+08:00,CR,29261,202227,RC,RCSZ09
2018-01-02T00:00:00.000+08:00,CR,50354,426572,RC,RCSZ10
2018-01-02T00:00:00.000+08:00,CR,12551,195310,RV,RVSZ01
2018-01-02T00:00:00.000+08:00,CR,3413,6098,RV,RVSZ02
2018-01-02T00:00:00.000+08:00,CR,16682,271968,RV,RVSZ03
2018-01-02T00:00:00.000+08:00,CR,40,40,RV,RVSZ04
2018-01-02T00:00:00.000+08:00,CR,39042,620648,RV,RVSZ05
2018-01-02T00:00:00.000+08:00,CR,65752,1278022,SI,SISZ01
2018-01-02T00:00:00.000+08:00,CR,8554,46844,SI,SISZ02
2018-01-02T00:00:00.000+08:00,CR,28447,386154,SR,SRSZ01
2018-01-02T00:00:00.000+08:00,CR,53915,421304,SR,SRSZ02
2018-01-02T00:00:00.000+08:00,CR,24396,182952,SR,SRSZ03
2018-01-02T00:00:00.000+08:00,CR,30433,184270,SV,SVSZ01
2018-01-02T00:00:00.000+08:00,CR,50672,889781,TN,TNSZ01
2018-01-02T00:00:00.000+08:00,CR,34906,486587,TN,TNSZ02
2018-01-02T00:00:00.000+08:00,CR,59646,537125,TN,TNSZ03
2018-01-02T00:00:00.000+08:00,CR,46239,304625,TN,TNSZ04
2018-01-02T00:00:00.000+08:00,CR,68934,580681,TP,TPSZ01
2018-01-02T00:00:00.000+08:00,CR,79489,1105888,TP,TPSZ02
2018-01-02T00:00:00.000+08:00,CR,33638,363334,TP,TPSZ03
2018-01-02T00:00:00.000+08:00,CR,22010,315776,TP,TPSZ04
2018-01-02T00:00:00.000+08:00,CR,70374,392820,TP,TPSZ05
